Nama Travel,Kapasitas Penumpang,Kapasitas Bagasi
Daihatsu Sigra5•2,5,2
Toyota Agya4•2,4,2
Daihatsu Ayla4•1,4,1
Toyota Calya5•2,5,2
Daihatsu All New Xenia6•2,6,2
Daihatsu Great New Xenia6•2,6,2
Toyota All New Avanza6•2,6,2
Toyota Grand New Avanza6•2,6,2
Honda Brio4•1,4,1
Daihatsu New Ayla4•2,4,2
Honda New Brio4•2,4,2
Toyota New Avanza6•2,6,2
Suzuki Ertiga6•2,6,2
Wuling Motors Confero S6•2,6,2
Honda Mobilio6•2,6,2
Suzuki All New Suzuki Ertiga6•2,6,2
Daihatsu All New Xenia 20216•2,6,2
Toyota All New Avanza 20216•2,6,2
Nissan All New Livina6•2,6,2
Mitshubisi Xpander6•2,6,2
Daihatsu All New Terios6•4,6,4
Toyota All New Rush6•2,6,2
Toyota All New Veloz 20216•2,6,2
Mitshubisi Xpander Facelift 20215•2,5,2
Toyota Veloz 20226•2,6,2
Toyota Grand Innova6•2,6,2
Toyota All New Innova6•2,6,2
Toyota New Innova Reborn6•2,6,2
Nissan Evalia7•3,7,3
Honda Crv5•2,5,2
Toyota New Innova Reborn Facelift6•2,6,2
Toyota All New Innova Zenix6•2,6,2
Mitshubisi Pajero6•2,6,2
Toyota Hiace13•5,13,5
Toyota Hiace Commuter16•4,16,4
Toyota Fortuner VRZ6•2,6,2
Toyota All New Fortuner6•2,6,2
Mitshubisi All New Pajero6•2,6,2
Toyota Hi-Ace Premio8•8,8,8
Toyota New Fortuner VRZ 20225•2,5,2
Toyota All New Alphard Transformer6•2,6,2
Toyota Alphard6•3,6,3
Toyota New Alphard6•2,6,2
